GID_0,lon,lat,oppc
BRA,-39.3465,-3.67654,261
BRA,-39.5107,-3.62316,237
BRA,-39.2942,-6.78264,260
BRA,-41.0916,-3.5667,241
BRA,-37.6129,-5.06977,273
BRA,-36.1888,-6.23829,237
BRA,-37.5586,-5.78387,273
BRA,-35.4247,-5.64323,258
BRA,-36.7782,-6.40894,267
BRA,-35.271,-5.91116,257
BRA,-35.8122,-5.54094,252
BRA,-37.009,-6.0306,267
BRA,-35.4299,-6.15082,254
BRA,-36.247,-5.69322,248
BRA,-35.3552,-5.85229,255
BRA,-35.2631,-5.52181,259
BRA,-35.2842,-6.48522,255
BRA,-37.3474,-5.18374,279
BRA,-35.1986,-5.79357,258
BRA,-35.4286,-6.47511,254
BRA,-37.9865,-6.02064,249
BRA,-36.7312,-6.76643,253
BRA,-35.4739,-6.31195,254
BRA,-37.2027,-6.71387,260
BRA,-38.4947,-6.20283,246
BRA,-37.3996,-6.66031,264
BRA,-38.1681,-7.0918,250
BRA,-34.9293,-7.1238,254
BRA,-35.8731,-7.22196,229
BRA,-37.747,-6.34062,260
BRA,-35.0857,-7.13902,252
BRA,-36.4526,-6.39759,251
BRA,-35.485,-6.85064,254
BRA,-35.605,-7.28144,246
BRA,-37.8036,-6.54577,262
BRA,-35.8491,-7.15535,217
BRA,-34.8748,-6.90258,255
BRA,-37.2747,-7.01743,252
BRA,-35.1065,-7.39107,244
BRA,-36.3497,-6.50845,239
BRA,-35.9031,-7.35029,236
BRA,-38.3236,-7.54705,242
BRA,-35.3725,-7.25238,250
BRA,-38.2311,-6.75148,266
BRA,-36.884,-7.66206,225
BRA,-34.8984,-7.90072,254
BRA,-41.0095,-8.51136,248
BRA,-35.5263,-8.70609,236
BRA,-36.0644,-8.48482,215
BRA,-35.4501,-8.37691,234
BRA,-35.0809,-7.78391,246
BRA,-40.494,-7.57073,233
BRA,-35.6585,-8.42075,217
BRA,-35.1832,-8.81605,238
BRA,-36.4258,-8.3313,209
BRA,-35.796,-8.2328,214
BRA,-36.6857,-9.16919,228
BRA,-35.5784,-7.79695,238
BRA,-35.0253,-8.28218,246
BRA,-34.9782,-8.02351,256
BRA,-37.7946,-7.79342,228
BRA,-35.2514,-7.84566,244
BRA,-35.9699,-8.28455,216
BRA,-39.2367,-7.71179,236
BRA,-35.4571,-8.23827,222
BRA,-35.6957,-8.00827,231
BRA,-35.9518,-8.62432,221
BRA,-35.2241,-8.35672,240
BRA,-35.3801,-7.94704,244
BRA,-35.9113,-7.93918,236
BRA,-36.4966,-8.88243,210
BRA,-34.9959,-7.5606,249
BRA,-35.5675,-8.21118,216
BRA,-36.8498,-9.04559,232
BRA,-34.9013,-7.82881,252
BRA,-35.0609,-8.39303,246
BRA,-35.015,-8.11298,246
BRA,-35.5288,-8.62281,232
BRA,-35.5813,-7.9971,241
BRA,-35.3967,-8.13982,237
BRA,-36.0137,-8.81175,209
BRA,-39.1247,-8.07373,239
BRA,-36.5696,-8.36097,219
BRA,-36.2061,-7.94802,228
BRA,-36.2869,-8.33763,218
BRA,-38.289,-7.98178,231
BRA,-36.3,-8.30867,219
BRA,-35.3119,-7.50484,246
BRA,-36.0637,-8.00955,228
BRA,-35.2314,-7.80228,247
BRA,-35.2976,-8.12819,239
BRA,-36.3078,-9.68489,241
BRA,-36.6615,-9.75487,239
BRA,-36.0086,-9.5119,243
BRA,-35.5101,-9.4023,247
BRA,-36.4904,-9.57047,234
BRA,-37.277,-9.82272,253
BRA,-36.1559,-9.3994,243
BRA,-35.7214,-8.91806,229
BRA,-36.1717,-10.1276,244
BRA,-36.6815,-9.89859,242
BRA,-35.7139,-9.27281,240
BRA,-35.9373,-8.97823,218
BRA,-36.6597,-10.1235,249
BRA,-35.4591,-8.83951,240
BRA,-36.0142,-10.0133,245
BRA,-35.735,-9.66599,246
BRA,-36.992,-9.53009,247
BRA,-35.8967,-9.70971,247
BRA,-36.3881,-9.44739,226
BRA,-35.5243,-9.15437,241
BRA,-35.8392,-9.39384,243
BRA,-36.8696,-9.31236,237
BRA,-35.9428,-9.30682,236
BRA,-36.6328,-9.40568,236
BRA,-36.5819,-10.2874,252
BRA,-35.9543,-9.60135,246
BRA,-37.757,-9.624,252
BRA,-35.3987,-9.05195,246
BRA,-36.8376,-10.1849,254
BRA,-36.4692,-9.32001,217
BRA,-37.248,-9.36999,241
BRA,-36.2176,-9.17141,227
BRA,-36.8522,-10.1141,254
BRA,-36.0515,-9.01278,235
BRA,-35.5606,-9.31816,246
BRA,-36.0971,-9.78301,244
BRA,-37.4576,-9.46986,240
BRA,-36.3492,-9.91656,241
BRA,-36.2431,-9.36763,233
BRA,-37.0148,-10.278,244
BRA,-37.0677,-10.9091,256
BRA,-37.6201,-11.2614,247
BRA,-37.6195,-11.1397,246
BRA,-36.4611,-10.4297,252
BRA,-37.0628,-10.5069,248
BRA,-37.7002,-10.3524,235
BRA,-36.9887,-10.6449,252
BRA,-37.7585,-11.4668,244
BRA,-37.1506,-10.6782,254
BRA,-37.4484,-11.2659,252
BRA,-37.5279,-10.5513,239
BRA,-36.5479,-10.4425,254
BRA,-37.515,-11.5157,249
BRA,-37.4273,-10.6826,239
BRA,-37.3078,-10.99,251
BRA,-36.8045,-10.3477,248
BRA,-37.6689,-10.9136,238
